uid,parent_uid,parent_xpath,tag,id,classes,xpath,depth,textContent,childrenCount,x,y,width,height,display,position,color,backgroundColor,zIndex,visibility
f5b234f8-dd09-4a6a-8a32-c3d2a5d781a5,,,img,,,"id(""a-page"")/img[1]",0,,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
d8b7a2c8-6372-434f-84ce-1ac5f8441dcf,,,img,,,"id(""a-page"")/img[2]",0,,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
7ae67bbe-e218-43dd-8ee0-a92adf02712b,,,style,,,"id(""a-page"")/style[1]",0,.nav-bluebeacon .nav-cobrand{background-image: url(https://web.archive.org/web/20230301065118im_/htt,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
025245c9-4346-4f92-af56-86cbb2a194c3,,,a,nav-top,,"id(""nav-top"")",0,,0,0.0,68.0,0.0,0.0,inline,static,"rgb(0, 113, 133)","rgba(0, 0, 0, 0)",auto,visible
1674be64-244b-490d-8f7e-a2795dbfae3e,,,a,skiplink,skip-link,"id(""skiplink"")",0,Skip to main content,0,7.0,10.0,144.8515625,36.0,block,absolute,"rgb(0, 113, 133)","rgb(255, 255, 255)",-1,visible
30ed0b64-80fe-4fc9-b804-47dcdbfa9cd8,,,header,navbar-main,"nav-opt-sprite,nav-flex,nav-locale-in,nav-lang-en,nav-ssl,nav-unrec,nav-progressive-attribute","id(""navbar-main"")",0,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",1,0.0,68.0,1265.0,99.0,flex,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,30ed0b64-80fe-4fc9-b804-47dcdbfa9cd8,"id(""navbar-main"")",div,navbar,"nav-sprite-v1,celwidget,nav-bluebeacon,nav-a11y-t1,bold-focus-hover,layout2,nav-flex,layout3,layout3-alt,nav-packard-glow,hamburger,nav-progressive-attribute","id(""navbar"")",1,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",4,0.0,68.0,1265.0,99.0,flex,static,"rgb(15, 17, 17)","rgb(35, 47, 62)",198,visible
,,"id(""navbar"")",div,nav-belt,,"id(""nav-belt"")",2,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",3,0.0,68.0,1265.0,60.0,flex,static,"rgb(15, 17, 17)","rgb(19, 25, 33)",5,visible
,,"id(""nav-belt"")",div,,nav-left,"id(""nav-belt"")/div[1]",3,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",5,0.0,68.0,312.328125,60.0,flex,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-belt"")/div[1]",script,,,"id(""nav-belt"")/div[1]/script[1]",4,window.navmet.tmp=+new Date();,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-belt"")/div[1]",div,nav-logo,,"id(""nav-logo"")",4,.in,1,11.0,68.0,128.265625,60.0,flex,relative,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-logo"")",a,nav-logo-sprites,"nav-logo-link,nav-progressive-attribute","id(""nav-logo-sprites"")",5,.in,3,12.0,73.0,128.265625,50.0,flex,static,"rgb(0, 113, 133)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-logo-sprites"")",span,,"nav-sprite,nav-logo-base","id(""nav-logo-sprites"")/span[1]",6,,0,18.0,86.0,97.0,30.0,block,static,"rgb(0, 113, 133)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-logo-sprites"")",span,logo-ext,"nav-sprite,nav-logo-ext,nav-progressive-content","id(""logo-ext"")",6,,0,0.0,0.0,0.0,0.0,none,static,"rgb(0, 113, 133)","rgba(0, 0, 0, 0)",auto,visible
