uid,element_id,tag_name,text_content,class_name,x,y,width,height,xpath,page_url,source_file
001,,script,"{""AUI_TNR_V2_180836"":""C"",""AUI_PRELOAD_261698"":""C"",""AUI_TEMPLATE_WEBLAB_CACHE_333406"":""C"",""AUI_72554"":""C"",""AUI_A11Y_1_699934"":""C"",""AUI_KILLSWITCH_CSA_LOGGER_372963"":""C"",""AUI_A11Y_SR_678508"":""C"",""AUI_REL_NOREFERRER_NOOPENER_309527"":""C"",""AUI_PCI_RISK_BANNER_210084"":""C""}",,,,,,/[document]/html/body/div[3]/script,https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
002,,script,"typeof uex === 'function' && uex('ld', 'portal-bb', {wb: 1})",,,,,,/[document]/html/body/div[3]/script[2],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
003,,script,"!function(n){function e(n,e){return{m:n,a:function(n){return[].slice.call(n)}(e)}}document.createElement(""header"");var r=function(n){function u(n,r,u){n[u]=function(){a._replay.push(r.concat(e(u,arguments)))}}var a={};return a._sourceName=n,a._replay=[],a.getNow=function(n,e){return e},a.when=function(){var n=[e(""when"",arguments)],r={};return u(r,n,""run""),u(r,n,""declare""),u(r,n,""publish""),u(r,n,""build""),r.depends=n,r.iff=function(){var r=n.concat([e(""iff"",arguments)]),a={};return u(a,r,""run""),u(a,r,""declare""),u(a,r,""publish""),u(a,r,""build""),a},r},u(a,[],""declare""),u(a,[],""build""),u(a,[],""publish""),u(a,[],""importEvent""),r._shims.push(a),a};r._shims=[],n.$Nav||(n.$Nav=r(""rcx-nav"")),n.$Nav.make||(n.$Nav.make=r)}(window)",,,,,,/[document]/html/body/div[3]/script[3],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
004,,script,"$Nav.importEvent('navbarJS-beaconbelt');
$Nav.declare('img.sprite', {
  'png32': 'https://web.archive.org/web/20240101002450/https://m.media-amazon.com/images/G/31/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB600086755_.png',
  'png32-2x': 'https://web.archive.org/web/20240101002450/https://m.media-amazon.com/images/G/31/gno/sprites/nav-sprite-global-2x-reorg-privacy._CB600086755_.png'
});
$Nav.declare('img.timeline', {
  'timeline-icon-2x': 'https://web.archive.org/web/20240101002450/https://m.media-amazon.com/images/G/31/gno/sprites/timeline_sprite_2x._CB443580981_.png'
});
window._navbarSpriteUrl = 'https://web.archive.org/web/20240101002450/https://m.media-amazon.com/images/G/31/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB600086755_.png';
$Nav.declare('img.pixel', 'https://web.archive.org/web/20240101002450/https://m.media-amazon.com/images/G/31/x-locale/common/transparent-pixel._CB485934990_.gif');",,,,,,/[document]/html/body/div[3]/script[4],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
005,,img,,,,,,,/[document]/html/body/div[3]/img,https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
006,,img,"Skip to main content .in Delivering to Mumbai 400001 Update location All Select the department you want to search in All Categories Alexa Skills Amazon Devices Amazon Fashion Amazon Fresh Amazon Pharmacy Appliances Apps & Games Audible Audiobooks Baby Beauty Books Car & Motorbike Clothing & Accessories Collectibles Computers & Accessories Electronics Furniture Garden & Outdoors Gift Cards Grocery & Gourmet Foods Health & Personal Care Home & Kitchen Industrial & Scientific Jewellery Kindle Store Luggage & Bags Luxury Beauty Movies & TV Shows Music Musical Instruments Office Products Pet Supplies Prime Video Shoes & Handbags Software Sports, Fitness & Outdoors Subscribe & Save Tools & Home Improvement Toys & Games Under ₹500 Video Games Watches Search Amazon.in EN Hello, sign in Account & Lists Returns & Orders Cart All Fresh Amazon miniTV Sell Best Sellers Today's Deals Mobiles Electronics Customer Service Prime New Releases Home & Kitchen Fashion Gift Ideas Amazon Pay Computers Books Car & Motorbike Toys & Games Beauty & Personal Care Home Improvement Gift Cards Coupons Sports, Fitness & Outdoors Health, Household & Personal Care Grocery & Gourmet Foods Video Games Baby Subscribe & Save Pet Supplies Audible AmazonBasics Custom Products Previous slide Next slide Makeup products See more New looks for the new season Shop fashion Do up your home See more Smart gadgets by Amazon Shop now Value bazaar Shop daily essentials Work from home essentials Routers Laptops Keyboards, mice & more Headphones See more Revamp your home in style Bedsheets, curtains & more Home decoration Home storage Lighting solutions Explore all Innovations from Emerging Indian Brands Explore more startups Your recently viewed items and featured recommendations › View or edit your browsing history After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in. Your recently viewed items and featured recommendations › View or edit your browsing history After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in. Back to top Get to Know Us About Us Careers Press Releases Amazon Science Connect with Us Facebook Twitter Instagram Make Money with Us Sell on Amazon Sell under Amazon Accelerator Protect and Build Your Brand Amazon Global Selling Become an Affiliate Fulfilment by Amazon Advertise Your Products Amazon Pay on Merchants Let Us Help You COVID-19 and Amazon Your Account Returns Centre 100% Purchase Protection Amazon App Download Help English Australia Brazil Canada China France Germany Italy Japan Mexico Netherlands Poland Singapore Spain Turkey United Arab Emirates United Kingdom United States AbeBooks Books, art & collectibles Amazon Web Services Scalable Cloud Computing Services Audible Download Audio Books IMDb Movies, TV & Celebrities Shopbop Designer Fashion Brands Amazon Business Everything For Your Business Prime Now 2-Hour Delivery on Everyday Items Amazon Prime Music 100 million songs, ad-free Over 15 million podcast episodes Conditions of Use & Sale Privacy Notice Interest-Based Ads © 1996-2023, Amazon.com, Inc. or its affiliates",,,,,,/[document]/html/body/div[3]/img[2],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
007,,script,var nav_t_after_preload_sprite = + new Date();,,,,,,/[document]/html/body/div[3]/img[2]/script,https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
008,,script,"(window.AmazonUIPageJS ? AmazonUIPageJS : P).when('navCF').execute(function() {
  (window.AmazonUIPageJS ? AmazonUIPageJS : P).load.js('https://web.archive.org/web/20240101002450/https://images-eu.ssl-images-amazon.com/images/I/41W974vG8QL._RC|71Gjy00HN5L.js,01F+A05ogQL.js,01phmzCOwJL.js,01eOvPdxG7L.js,71B8cJi+G8L.js,41306Iio4NL.js,115pV8Rl02L.js,01+pnQJuQ0L.js,21rDHgaooIL.js,41nqF5HJopL.js,51t-JTxfnwL.js,31Pa7Gj4ZBL.js,11lEMI5MhIL.js,313ANWt5xVL.js,01LEzWzrPZL.js,01AqeWA7PKL.js,71-pKfDl0GL.js,41k8iTU2aPL.js_.js?AUIClients/NavDesktopUberAsset&J2jwrulK#desktop.language-en.in.366740-T1.310484-T1.651011-T2');
});",,,,,,/[document]/html/body/div[3]/img[2]/script[2],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
009,,script,"if(window.navmet===undefined) {
      window.navmet=[];
      if (window.performance && window.performance.timing && window.ue_t0) {
        var t = window.performance.timing;
        var now = + new Date();
        window.navmet.basic = {
          'networkLatency': (t.responseStart - t.fetchStart),
          'navFirstPaint': (now - t.responseStart),
          'NavStart': (now - window.ue_t0)
        };
        window.navmet.push({key:""NavFirstPaintStart"",end:+new Date(),begin:window.ue_t0});
      }
    }
    if (window.ue_t0) {
      window.navmet.push({key:""NavMainStart"",end:+new Date(),begin:window.ue_t0});
    }",,,,,,/[document]/html/body/div[3]/img[2]/script[3],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
010,,script,window.navmet.tmp=+new Date();,,,,,,/[document]/html/body/div[3]/img[2]/script[4],https://web.archive.org/web/20240101002450/https://www.amazon.in/,20240101002450.html
